,Question,Answer,Class
1117,open online mutual fund account mn bank,"To open an Online Mutual Fund account, please fill in an Investment Services Account opening form that is available in any M&N  Bank Branch. You can also download the Investment Services Account opening form from www.M&N bank.com > Forms Centre (top right corner). The form is also attached below. Once it is duly filled, you need to provide your KYC confirmation / verification (for all applicants) from below websites https://camskra.com/ https://kra.ndml.in/ www.cvlkra.com Submit the above documents to your M&N  Bank branch. For a comprehensive list of branches, kindly visit our site www.M&N bank.com. Click on Find your nearest on the home page and select Branch. View more",4
1118,cancel modify bid place asba bidding period,"Yes, you can place a cancellation request or modify your order anytime during the bidding period. After successfully processing your cancellation request, the money will be unblocked in your bank account. For more information visit www.M&N sec.com or get in touch through email on",4
1119,product trade trading account,"You can trade in Equity & Derivatives, IPOs, NCDs and Infrastructure Bonds. Click here to know more.",4
1120,send application happen,"Your application will be processed and you will be informed once your application is accepted and all the required accounts are set up. In case your application is not processed because of lack of some details, our representative will contact you by mail.",4
1121,asba option apply ipo,"ASBA means Applications Supported by Blocked Amount. ASBA is an application containing an authorization to block the application money in the bank account, for subscribing to an issue.",4
1122,open security trading account mn security,"Any Indian resident/Non-resident individual (not US-based) or Indian corporate can register with M&N  Securities Ltd. to trade in securities. Currently, overseas corporate bodies (OCBs) cannot open an account with M&N  Securities. To become a registered user of M&N  Securities, you will have to first open a Savings/Current account and Demat account with M&N  Bank.",4
1123,channel trade invest,"You can trade through multiple channels i.e. Online trading, Trade on Mobile, Low Bandwidth Sites (LITS), Call â€˜N Trade.",4
1124,withdraw block asba bid application,No. The blocked amount cannot be withdrawn. Such amount will remain blocked in your linked bank account till the allotment is completed.,4
1125,need submit place iponcd order mn security trading account,"Once you are registered with M&N  securities, you can successfully place an IPO/NCD/ Infrastructure Bonds order online; or Call â€˜N trade. No filling of any form or any documentation is required if you are a registered customer.",4
1126,trade derivative mn security trading account,Trading in Derivatives will be available only to those customers who have submitted their financial documents or income proof and signed the necessary agreements. For more information click here. For more information visit www.M&N sec.com,4
1127,difference nonasba ipo process asba ipo process,"In the Non-ASBA IPO process, the bid amount (application money) is debited from the bank account once the bid application is successfully placed with M&N  securities. Under the ASBA IPO process, the amount is not debited from your bank account until successful allotment. Until such allotment, the amount will remain blocked in your bank account.",4
1128,trade derivative mn security trading account,Trading in Derivatives will be available only to those customers who have submitted their financial documents or Income proof and signed the necessary agreements.,4
1129,charge applicable use n trade facility trade security,The Call â€˜N Trade facility is free of charge. You can place orders over the phone any number of times.,4
1130,charge offline customer mn security trading account,The Call â€˜N Trade facility is free of charge. Customer can place orders over the phone multiple times.,4
1131,bank depository account link trading account,You can link up to five M&N  Bank Saving Bank accounts and five M&N  Bank Demat accounts to your trading account.,4
1132,need submit place iponcd order mn security trading account,"Once you are registered with M&N  securities, you can successfully place an IPO/NCD order online or Call â€˜N trade. No filling of any form or any documentation is required for a registered customer.",4
1133,know application accept,You can check your account opening status on www.M&N sec.com on the footer page of the homepage section page under the Application status.,4
1134,cancel withdraw ipo application bid submit asba,"Yes, you can place a withdrawal request at any time during the bidding period. Any request for bid withdrawal should be made during banking hours and by 2 PM of the issue closure date. The request will be subject to acceptance by the Stock Exchange, after which the application amount in your Account will be unblocked. Once withdrawn, the blocked amount will be available in 1 working day.",4
1135,revise bid,"Yes, you can revise your bid under the ASBA facility. In case of upward revision of bid, additional lien will be marked to the extent of the incremental amount. However, in case of downward revision, differential money blocked earlier will not be released. Such amount, if any, will be released after allotment.",4
1136,asba application block single bank account,"As per the SEBI Regulations, under ASBA mode, not more than 5 applications can be made from a single Bank Account for a particular IPO.",4
1137,difference nonasba ipo process asba process,"In the non-ASBA IPO process, the bid amount (application money) is debited from the Bank account once the bid application is successfully placed. Under the ASBA process, the amount is not debited from your Bank account until successful allotment. Until such allotment, the amount will remain blocked in your Bank account.",4
1138,apply asba,"The following investors are eligible to apply through ASBA: In public issues: Investor from any of the approved category eligible to apply in IPO as per SEBI guidelines. Investor who has a Savings Account or Current Account with M&N  Bank Investor who has a Demat Cccount with any DP along with a valid Permanent Account Number (PAN). Investor has sufficient clear credit balance in his/her Savings or Current account (NOT including overdraft limit) In rights issues: Any shareholders of the issuer company, as on the record date, provided he/ she: holds shares in dematerialised form and has applied for entitlements and /or additional shares in the issue in dematerialised form; has not renounced his/ her entitlements in full or in part; is not a renouncee to the Issue; is from any approved category eligible to apply in IPO as per SEBI guidelines. has a Savings Account or Current Account with M&N  Bank has a Demat account with any DP along with a valid Permanent Account Number (PAN). has sufficient clear credit balance in his/her Savings or Current account (NOT including overdraft limit) View more",4
1139,application asba money saving account block interest period,"Yes, interest will be payable on the blocked amount as per RBI guidelines.",4
1140,possible bid ipo asba nonasba,"No, it isn't. Only one application per IPO is allowed, either through ASBA or non-ASBA. Multiple applications are liable to be rejected because the same PAN Card cannot be used for more than one application.",4
1141,time limit submit form designate mn bank branch,"The bidding time will be the same for ASBA and non-ASBA applications. However, the application needs to be submitted to the designated branch during banking hours and before 1 PM on issue closure date.",4
1142,approach broker apply ipo,"Yes, you can approach your broker to apply for an IPO.",4
1143,bid multiple rate asba,"Yes, you can place three bids under ASBA.",4
1144,bank lock money account asba payment,"The Bank will need the money in your account at the time of placing the bid for IPO shares through the ASBA payment option. SEBI has clearly instructed Banks not to accept IPO applications before blocking the bidding amount (for ASBA process). The amount will remain locked until the registrar / stock exchange requests the Bank to release the funds, either if shares are not allotted to you, your IPO application is rejected or you withdraw your IPO application.",4
1145,asba,"ASBA means 'Application Supported by Blocked Amount' as defined in clause (d) of sub Regulation (1) of regulation 2 of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2009. ASBA is an application containing an authorization to block the application money in the Bank account for subscribing to an IPO/FPO or Rights Issue.",4
1146,happen issue failsis withdraw,"In case the issue fails/ is withdrawn, M&N  Bank shall unblock the application money from the Bank Accounts upon receiving instructions from the Registrar.",4
1147,benefit apply ipo asba,"If you apply using the ASBA form you will get the following benefits: No loss of interest, since the application amount is not debited to the Savings Account on application The amount for which no shares have been allotted is available immediately on completion of allotment process. There is no need to wait for the amount to be refunded by the company Since the amount is available in the Account, it is considered for calculation of the Average Quarterly Balance (AQB) Simplified form filling process and you can apply online through NetBanking View more",4
1148,nrenro customer apply asba,"Yes, you can apply through a physical application; however, you CANNOT currently apply through ASBA on NetBanking.",4
1149,priority allotment give application bid asba facility,There is no differentiation between the allotment of shares applied through ASBA or Non- ASBA.,4
1150,possible withdraw block ipo application asba,"No. The blocked amount cannot be withdrawn. However, the same will lie in your operative Bank Account till the allotment and will earn interest as per Account terms applicable.",4
1151,bank charge additional fee choose asba payment option,Currently this value added service is provided free of cost.,4
1152,additional documentation require avail asba facility,No further physical documentation is required to avail of this facility.,4
1153,want apply physically ipo asba,"You have to visit the nearest designated M&N  Bank branch to apply in an IPO through ASBA. It is not essential that you hold an Account in that branch, you should hold an Account with the Bank though. Click here for List of Designated Branches Fill in the no. of shares, price, Account number, PAN, Demat Account details, etc. in the specially designed ASBA application form of the IPO you wish to apply for and submit it at the branch. You will receive the acknowledgement from the branch along with the Unique Reference Number. Subsequently, the Bank will block the amount on your highest bid in your specified Bank Account for the IPO as applied. In case of insufficient funds in your Bank Account, the bank will reject the IPO application. After the allotment has been approved, the Bank will debit your Account for the allotment money and will release the block on the remaining amount in the Account. Subsequent to this, the shares will be credited to your Demat Account. You can now download the application forms from the NSE/BSE website. You can also register your Bank/Demat details to avoid filing the same for every issue. Click here to download the form through BSE Click here to download the form through NSE View more",4
1154,bank account mn bank apply bank ipos mn bank asba process,"To apply for an IPO from M&N  Bank using ASBA, you should have an account with the Bank. However, it is not compulsory for you to have a Demat Account.",4
1155,gold rate newspaper low mn bank gold rate gold bar sell mn bank expensive sell market,"The price of Mudra Pure Gold Bars is line with the gold price of 99.99% pure bars in the International market. The price also includes the supplierâ€™s premium, as the product is imported from Switzerland, and the Assay Certification Cost that certifies the purity of Gold as per International Standards. This price also includes customs duty, insurance, holding cost and VAT.",4
1156,taxis applicable mudra pure gold bar,VAT is included in the final price of Mudra Pure Gold Bars.,4
1157,mudra pure gold bar different carat gold available market,"There are three different purity levels in 24 carat gold; i.e. 99.50%, 99.90% and 99.99%. M&N  Bank Mudra Pure Gold Bars are 24 carat, 99.99% pure. This is the highest available purity in gold. The normal level of purity commonly available with local jewelers is 24 carat 99.5% pure. In some cases the purity is level is 99.9% pure.",4
1158,form gold sell,Mudra - Pure Gold will be sold in the form of rectangular bars.,4
1159,mn bank buy gold sell,M&N  Bank does not buy the gold sold by them.,4
1160,authenticity proof,"The gold bar is packed in tamper-proof certicard packs that are see through at the manufacturing stage itself to prevent any damage / theft during transit. Moreover, the gold bars sold by the Bank come with an Assay Certification indicating the highest quality of gold at 99.99% purity as per international standards.",4
1161,assay certification,"Mudra Pure Gold Bars come with an Assay certification, which signifies the highest level of purity as per international standards.",4
1162,feature mn bank mudra pure gold bar,99.99% Pure 24 Carat Tamper-proof Packaging Assay Certification for purity and weight Imported from Switzerland,4
1163,mn bank sell gold,M&N  Bank is selling the gold through its branches.,4
1164,buy gold bar purchase bank branch,"Currently, the Bank is prohibited by regulatory guidelines from buying back gold that has been sold to customers.",4
1165,bill purchase mudra pure gold bar mn bank,"We will give you an Invoice for all gold bars purchased from us. The Invoice will carry the weight, quantity and purity of the gold bars and will be signed and stamped by the Bank.",4
1166,bar authenticity proof,"The gold bars are packed in tamper-proof Certicard packs (see through), at the manufacturing stage itself, to prevent any damage / theft during transit. Moreover, the gold bars sold by the Bank are â€œAssay Certifiedâ€ for weight and purity, as mentioned on the packaging.",4
1167,todays price mudra pure gold bar,The card rates for M&N  Bank Mudra Pure Gold Bars are available on the M&N  Bank website home page in the â€˜todayâ€™s ratesâ€™ section. Please note that these prices are subject to change as per the market price. Hence please confirm the price and the branch name before making a purchase.,4
1168,mn bank venture goldbullion market,"Yes, M&N  Bank has RBI approval to retail gold/bullion to its customers.",4
1169,gold import,Yes.The gold is imported from an Internationally reputed supplier from Switzerland.,4
1170,price gold sell,The price will depend upon the market rate of gold.,4
1171,size shape mudra pure gold bar available,Mudra Pure Gold bars are available in rectangular form.,4
1172,weight gold bar available,"Currently Mudra - Pure Gold bars are available in 5g, 8g, 10g, 20g, 50g & 100g denominations.",4
1173,different weight mudra pure gold bar available,"Mudra Pure Gold bars are available in 5g, 8g, 10g, 20g 50g and 100g denominations.",4
1174,price silver sell,The price will depend upon the market rate of silver.,4
1175,mn bank venture silverbullion market,"Yes, M&N  Bank has RBI approval to retail silver/bullion to its customers.",4
1176,authenticity proof,"The silver bar is packed in tamper-proof certicard packs that are seen through at the manufacturing stage itself to prevent any damage / theft during transit. Moreover, the silver bars sold by the Bank come with an Assay Certification indicating the highest quality of silver at 99.99% purity as per international standards.",4
1177,mn bank buy silver sell,M&N  Bank does not buy the silver sold by them.,4
1178,weight silver bar available,Currently Mudra - Pure silver bars will be available in 50 gm weight.,4
1179,assay certification,"Mudra Silver Bars come with an Assay certification, which signifies the highest level of purity as per international standards.",4
1180,purity factor silver,"M&N  Bank - Mudra Pure Silver will be of 24 Karat, 99.99% purity silver.",4
1181,form silver sell,Mudra - Pure silver will be sold in the form of rectangular bars.,4
1182,mn bank sell silver,"Initially, M&N  Bank will sell the silver through its branches.",4
1183,form bond issue,Bonds are issued in the form of a Bond Ledger Account in denominations of Rs. 1000.,4
1184,nomination facility available,"Yes, a nomination facility is available.",4
1185,bond option available,You can choose from cumulative and non-cumulative bond options.,4
1186,tax pay,The interest income from the bonds is taxable. TDS is deducted at the time of interest payment as per the prevailing IT rules.,4
1187,minimum maximum limit investment saving taxable bond,"You need to invest a minimum of Rs. 1,000. However, there is no maximum limit on investment but it needs to be in denominations of Rs. 1000.",4
1188,tenure saving taxable bond,The tenure of the bond is 6 years from the date of issue. No interest will accrue after the maturity of the bond.,4
1189,saving taxable bond transferable,"No, these bonds are not transferable.",4
1190,interest saving taxable bond bear,"Bonds will bear interest @ 8.00% p.a. and are payable half-yearly. The interest payment dates are February 1 and August 1 for non-cumulative investments. For investors who have chosen the cumulative option, the value of the investments at the end of 6 years would be Rs. 1601 (being Principal and Interest) for every Rs. 1000 invested. Interest on the Bonds is taxable under Income Tax Act 1961.",4
1191,claim exemption exemption exemption,"Yes, you can claim exemption under 54C with the exemption 54 and 54EC.",4
1192,rate interest bond,The interest rate on these bonds is 6% per annum.,4
1193,block period investment,The block period for the investment of these two companies is 3 years.,4
1194,bond eligible section ec,The eligible bonds under Section 54 EC are RECL (Rural Electrification Corporation Ltd) and NHAI (National Highways Authority of India).,4
1195,loan bond,"No, you cannot take a loan on these bonds.",4
1196,maximum investment limit section ec capital gain bond,The maximum investment limit amount is Rs. 50 Lakhs.,4
1197,benefit investtrack,"This exclusive service* comes to you with an array of unmatched benefits, which include: Structured Process considering your risk profile, investment objectives and financial goals Recommendations from M&N  Bank's in-house research team Choice of convenient Mutual Fund execution platforms Comprehensive Portfolio Tracker* that provides a consolidated view of your Mutual Fund Investments, M&N  Life Policies, Savings, Current & Fixed Deposit Account Balances Complimentary subscription* to our exclusive monthly magazine - Investment Insight, that updates you on: Market Movements New Fund Offerings Recommended Funds' Performance Fund Managers' Views Informative articles on various investment products Proactive monthly updates on new offers and investment concepts. View more",4
1198,requirement avail investtrack facility,"You need to have an existing Investment Services Account (ISA) or you need to open an ISA, without which you will not be registered under InvestTrack",4
1199,avail investtrack facility,"The InvestTrack facility is available exclusively to our Imperia, Preferred and Classic customers.",4
1200,security need provide obtain business loan,"To obtain the loan, there is absolutely no need to provide any security or collateral.",5
1201,benefit currentsave account business loan,"You get preferred Processing Fee, priority processing and simpler documentation if you have a Current/Saving Account with M&N  Bank. This is taken into account at the time of disbursal of the loan. You can pay through Standing Instructions to debit your M&N  Bank Account with the EMI amount.",5
1202,long business loan,"Once you submit your application form and supporting documents, we shall give approval within 5 working days provided everything is in order. All loan approvals are at the sole discretion of the bank.",5
1203,repay loan early business loan,"Yes, you can choose to repay your loan anytime after 6 months of taking the loan and after you have paid 06 EMIs along with applicable foreclosure charges. Please note Loan can be foreclosed by issuing a Demand draft / cheque at the branch; kindly note that cash beyond Rs. 49000/- will not be accepted for loan repayment against full closure/matured loan closure payment. Any payment above Rs. 49000/- should be made vide Account payee Cheque / Pay order /Demand draft.",5
1204,address change loan account,"In order to change your address in our records, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",5
1205,post date cheque request change mode repayment account loan,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.M&N bank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",5
1206,charge pay change mode repayment account loan,A service charge of Rs.500 is applicable for changes in loan repayment instructions issued from non-M&N  Bank Account (ECS or PDC facility). A cheque/payorder/demand draft for Rs. 500 favouring â€œM&N  Bank Ltd Loan Account No. << >>â€ will be required along with the revised set of repayment instructions.,5
1207,change mode repayment account loan,"In the event that you wish to change the mode of repayment/bank account for your loan repayment, you may visit the nearest the Retail Loan Service Center and submit your request with the revised account mandate/instructions. You can opt to repay through alternate repayment instructions as follows: 1) Standing Instructions: We offer the Standing Instructions (SI) facility whereby we can directly debit your M&N  Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Center: Request form for swap of repayment instructions. 3 Security cheques favoring M&N  Bank Ltd Loan Account No. << >>, each undated and filled with a value equal to the sum of 3 EMIs. SI mandate duly filled and verified by M&N  Bank. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. 2) Electronic Clearing Service (ECS): We offer the ECS facility whereby we can directly debit your non-M&N  Bank account for EMI amounts on due dates. Please submit the following at your nearest Retail Loan Service Center: Request form for swap of repayment instructions. Security cheques favoring M&N  Bank Ltd Loan Account No. << >>*** ECS mandate duly filled and verified by your banker. ACH(Automated Clearing House) Mandate. Swap Charges of Rs.500/- favouring M&N  Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. ***Security Cheques: You need to issue 1 security cheque for every 6 Equated Monthly Installments (EMI). The amount on each security undated cheque should be equal to the sum of 3 EMIs. For example, if your EMI amount is Rs. 1000 and you have paid 18 EMIs for a 36 month loan tenure, you need to submit 3 Security Cheques of Rs. 3000 each. 3) Post-dated Cheques (This mode is allowed only if the location is non ECS): Please submit the following documents at your nearest Retail Loan Service Center: Request form for swap of repayment instructions Revised post dated cheques in favour of M&N  Bank Ltd Loan Account No. << >> for the balance EMIs. ACH(Automated Clearing House) Mandate Swap Charges of Rs.500/- favouring M&N  Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",5
1208,obtain duplicate repayment schedule loan account,"You may obtain a Duplicate Repayment Schedule for your loan account, free of charge by registering for our NetBanking facility on www.M&N bank.com and download the repayment schedule for your linked loan account. Alternatively, you may visit the nearest Retail Loan Service Center and submit the following documents Request form for Duplicate Repayment Schedule. Duplicate Repayment Schedule Charges of Rs.200/- favouring M&N  Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided",5
1209,loan avail business loan,"You can avail of a loan from Rs 50,000/- to Rs 50,00,000/- depending on your income, repayment capacity and respective location product cap.",5
1210,repay business loan,You pay the loan in equal monthly instalments (EMIs). The loan will be paid through post-dated cheques. You can also pay through Electronic Clearing System (ECS ) or a standing instruction to debit your M&N  Bank account with the EMI amount,5
1211,loan tenure option business loan,You can repay your loan over a period of 12 to 48 months,5
1212,need pledge collateral car loan,"No, thereâ€™s no need for any collateral. You will only need you to hypothecate the car in our name. An endorsement will have to be made in the Registration Certificate (RC) book of the vehicle. This will be cancelled after you repay the loan.",5
1213,long tenure loan,"Usually the tenure of an Auto Loan is 3 to 7 years. The tenure also depends on the type of car you wish to purchase. If it is a super premium car the tenure is restricted to 3 years only. In addition, the higher your tenure is the lower your EMI will be, but the total interest outflow is higher.",5
1214,document need submit loan disburse,"You can keep the original car documents, registration certificate, insurance policy and tax papers with you; but you need to submit photocopies of these documents to the bank.",5
1215,happen car meet accident,"In the event of an accident, the first step is to inform the insurance company. The company then sends a surveyor to assess the extent of damages to the car. Your claim is then processed and paid directly to us, unless you have taken an NOC from the bank in which case the payment will be made by the insurance company in your favour. The bank normally gives you an NOC if you are regular in your payments. In case of a complete loss, the bank will receive the payment directly from the insurance company.",5
1216,finance insurance registration,No. The ex-showroom price is considered which does not cover insurance and registration charges.,5
1217,loan,The amount of the loan you can get depends on: The cost of the vehicle The type of vehicle (standard/premium) The percentage of finance offered,5
1218,sell car repay loan,"No, you cannot sell your car unless you repay your loan. An NOC is required from the financier before you can sell your car.",5
1219,time change mode repayment account repay loan,"It will take 25 working days to activate the revised instructions. In case your next instalment falls due prior to the 25 day period, instructions already lodged with us will be presented for payment.",5
1220,depledge,Removal of a pledge from the security to regain the rights over the security is called de-pledge. *Conditions Apply,5
1221,guarantor,A Guarantor is a person who guarantees to pay for someone else's debt if he or she should default on a loan obligation.,5
1222,amortization,Amortization is paying off debts in regular instalments over a period of time.,5
1223,pledge,A right over the security is created in favour of M&N  Bank. Hence shares cannot be transferred or sold by the customer or shareholder.,5
1224,rtgs,"RTGS is the Real Time Gross Settlement which is used for the transfer of amounts of Rs. 1,00,000 or more from one bank account to another bank account (any bank located anywhere in India if attached with an Internet system) at very minimal charges. The amount is credited into the beneficiary's account in real time. For amounts less than Rs. 1,00,000 we use NEFT( National Electronic Fund Transfer).",5
1225,neft,The National Electronic Funds Transfer (NEFT) system is a nation-wide funds transfer system to facilitate transfer of funds from any bank branch to any other bank branch.,5
1226,si,"SI stands for Standing Instructions. It is one of the modes you can use to repay a loan, wherein your M&N  Bank account is directly debited for the EMI amounts, based on your specific instructions in the form of the Standing Instructions Mandate.",5
1227,cibil,"CIBIL stands for Credit Information Bureau India Limited. CIBIL's aim is to fulfil the need of credit granting institutions for comprehensive credit information by collecting, collating and disseminating credit information pertaining to both commercial and consumer borrowers, to a closed user group of members. Banks, Financial Institutions, Non-Banking Financial Companies, Housing Finance Companies and Credit Card Companies use CIBIL's services. Data sharing is based on the Principle of Reciprocity, which means that only Members who have submitted all their credit data may access Credit Information Reports from CIBIL. The establishment of CIBIL is an effort made by the Government of India and the Reserve Bank of India to improve the functionality and stability of the Indian financial system by containing NPAs while improving credit grantors' portfolio quality. CIBIL provides a vital service, which allows its Members to make informed, objective and faster credit decisions. View more",5
1228,document carry time visit mn bank,"You need to carry an Agreement Number, Self-attested Identification Proof containing your signature to avail of any information / deliverable along with a written request and produce the documents at the Customer Service Desk. If you want to change your address / contact details, you need to submit an address change request along with a Self-attested copy of your revised address proof. The Request form for Address Change is available on the Form Centre of M&N  Bank website. View more",5
1229,resolve query,"For your queries related to Loans (other than home loans), please visit the nearest Retail Asset Branch. You can also write to us at www.M&N bank.com/services with the following verification details or contact your nearest PhoneBanking officer: Loan account number Name of applicant / loan favouring Date of birth of the applicant (as provided in loan application form) Correspondence address Loan amount EMI amount Mode of repayment (standing instruction / ECS / post date cheques) Bank name and account number from which the EMIs are collected Query / Complain View more",5
1230,obtain noc bank fitting lpgcng kit vehicle finance mn bank,"You may obtain the NOC for fitting an LPG/CNG kit on your registered vehicle under finance with us by visiting any of our the Retail Loan Service Center and submitting the following documents: Request form for LPG/CNG NOC. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring M&N  Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents (self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",5
1231,obtain noc bank settle partial loss insurance claim vehicle finance mn bank,"You may obtain the NOC to settle the partial insurance claim in your favour, provided there are no outstandings to your loan account, by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Original Insurance Policy (will be returned back to you at the centre, post validation). Copy of the Insurance Policy, duly self attested by you. Claim Voucher provided by Insurance Company Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring M&N  Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. Note, for Total Loss, Claims will be settled in favour of the Bank to close the loan based on the Loan Pre-Termination Statement as on the date of request and in case of any excess claim received from the Insurance Company, a refund will be made favouring the customer. View more",5
1232,address change loan account,"In order to change your address in our records, we request you to visit the Retail Loan Service Center and submit the following documents: Request form for Address Change. Self Attested copy of your revised address proof along with the original address proof for validation. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",5
1233,obtain noc bank registration certificate mutilate wish apply duplicate registration certificate book vehicle finance mn bank,"You may obtain the NOC for a duplicate Registration Certificate book for the said purpose by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500//- vide a cheque/payorder/demand draft favouring M&N  Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",5
1234,obtain noc bank lose registration certificate book vehicle finance mn bank,"You may obtain the NOC for a duplicate Registration Certificate book for your vehicle loan, by visiting any of our Retail Loan Service Center and submitting the following documents: Request form for applying for the required NOC. Self attested copy of the Registration Certificate book, duly self attested by you for validation. Copy of FIR or certificate from police or Acknowledgement from Police on written complaint with General Diary No. Applicable fee of Rs. 500//- vide a cheque/payorder/demand draft favouring M&N  Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. View more",5
1235,obtain duplicate repayment schedule loan account,"You may obtain a Duplicate Repayment Schedule for your loan account, free of charge by registering for our NetBanking facility on www.M&N bank.com and download the repayment schedule for your linked loan account. Alternatively, you may visit the nearest Retail Loan Service Center and submit the following documents: Request form for Duplicate Repayment Schedule. Duplicate Repayment Schedule Charges of Rs.200/- favouring M&N  Bank Ltd Loan Account No. << >> In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided View more",5
1236,post date cheque request change mode repaymentaccount loan,"Post Dated Cheques(PDCs)/Security Cheques submitted towards loan repayment that have not been encashed, will be defaced and retained by the Bank. In case, you wish to have your old Post Dated Cheques(PDCs)/ Security Cheques to be returned to you, kindly lodge a request at the Retail Loan Service Center or through PhoneBanking or write us an email at www.M&N bank.com/services within 45 days from the date of application of change in repayment instructions. In case, we do not hear from you within the stipulated period, the defaced cheques will be destroyed.",5
1237,obtain duplicate nocform vehicle loan close fully repay,"You may obtain a duplicate NOC/Form 35 for your vehicle by visiting any of our the Retail Loan Service Center and submit the following documents: Request form for Duplicate NOC/Form 35. Self attested copy of the Registration Certificate book, duly self attested by you, along with the Original Registration Certificate book for validation. Applicable fee of Rs. 500/- vide a cheque/payorder/demand draft favouring â€œM&N  Bank Ltd Loan Account No. << >>. In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer,i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided. Please note that the Loan Closure NOC/Form 35 will not be issued if any of the following conditions apply: Copy of RC Book is not submitted The same vehicle is encumbered to the Bank for any other loan facility Any notice from a competent authority restraining the Bank from release of hypothecation If there are any existing over dues, direct or otherwise, in your name View more",5
